,0,1,2,3
0,2017-11-12,9235.7,10491.953002882005,9852.960559415818
1,2017-11-13,9285.1,10532.755585080387,9884.591703397036
2,2017-11-14,9233.3,10532.144538009168,9881.951475620272
3,2017-11-15,9300.8,10668.543313604594,10118.692663890124
4,2017-11-16,9243.6,10542.539216798545,10100.062033581735
5,2017-11-17,9253.4,10448.540000081064,9996.587574756148
6,2017-11-18,9198.7,10352.223848783971,10014.348064863683
7,2017-11-19,9135.3,10370.63436457515,9970.311404263975
8,2017-11-20,9155.8,10476.526643800737,10156.772475367787
9,2017-11-21,9170.2,10298.901106989386,10033.890106844903
10,2017-11-22,9208.0,,
11,2017-11-23,9162.4,,
12,2017-11-24,9387.3,,
13,2017-11-25,9513.7,,
14,2017-11-26,9599.6,,
15,2017-11-27,9546.4,,
16,2017-11-28,9704.1,,
17,2017-11-29,9932.5,,
18,2017-11-30,11022.800000000001,,
19,2017-12-01,10908.5,,
20,2017-12-02,11105.9,,
21,2017-12-03,11096.2,,
22,2017-12-04,11333.4,,
23,2017-12-05,11803.1,,
24,2017-12-06,11066.8,,
25,2017-12-07,11224.4,,
26,2017-12-08,11184.699999999999,,
27,2017-12-09,11735.1,,
28,2017-12-10,11757.100000000002,,
29,2017-12-11,11508.8,,
30,2017-12-12,10491.953002882005,,
31,2017-12-13,,,
32,2017-12-14,,,
33,2017-12-15,,,
34,2017-12-16,,,
35,2017-12-17,,,
36,2017-12-18,,,
37,2017-12-19,,,
38,2017-12-20,,,
39,2017-12-21,,,
40,2017-12-22,,,
41,2017-12-23,,,
42,2017-12-24,,,
43,2017-12-25,,,
44,2017-12-26,,,
45,2017-12-27,,,
46,2017-12-28,,,
47,2017-12-29,,,
48,2017-12-30,,,
49,2017-12-31,,,
50,2018-01-01,,,
51,2018-01-02,,,
52,2018-01-03,,,
53,2018-01-04,,,
54,2018-01-05,,,
55,2018-01-06,,,
56,2018-01-07,,,
57,2018-01-08,,,
58,2018-01-09,,,
59,2018-01-10,,,
60,2018-01-11,,,
61,2018-01-12,,,
62,2018-01-13,,,
63,2018-01-14,,,
64,2018-01-15,,,
65,2018-01-16,,,
66,2018-01-17,,,
67,2018-01-18,,,
68,2018-01-19,,,
69,2018-01-20,,,
70,2018-01-21,,,
71,2018-01-22,,,
72,2018-01-23,,,
73,2018-01-24,,,
74,2018-01-25,,,
75,2018-01-26,,,
76,2018-01-27,,,
77,2018-01-28,,,
78,2018-01-29,,,
79,2018-01-30,,,
80,2018-01-31,,,
81,2018-02-01,,,
82,2018-02-02,,,
83,2018-02-03,,,
84,2018-02-04,,,
85,2018-02-05,,,
86,2018-02-06,,,
87,2018-02-07,,,
88,2018-02-08,,,
89,2018-02-09,,,
90,2018-02-10,,,
91,2018-02-11,,,
92,2018-02-12,,,
93,2018-02-13,,,
94,2018-02-14,,,
95,2018-02-15,,,
96,2018-02-16,,,
97,2018-02-17,,,
98,2018-02-18,,,
99,2018-02-19,,,
100,2018-02-20,,,
101,2018-02-21,,,
102,2018-02-22,,,
103,2018-02-23,,,
104,2018-02-24,,,
105,2018-02-25,,,
106,2018-02-26,,,
107,2018-02-27,,,
108,2018-02-28,,,
109,2018-03-01,,,
110,2018-03-02,,,
111,2018-03-03,,,
112,2018-03-04,,,
113,2018-03-05,,,
114,2018-03-06,,,
115,2018-03-07,,,
116,2018-03-08,,,
117,2018-03-09,,,
118,2018-03-10,,,
119,2018-03-11,,,
120,2018-03-12,,,
121,2018-03-13,,,
122,2018-03-14,,,
123,2018-03-15,,,
124,2018-03-16,,,
125,2018-03-17,,,
126,2018-03-18,,,
127,2018-03-19,,,
128,2018-03-20,,,
129,2018-03-21,,,
130,2018-03-22,,,
131,2018-03-23,,,
132,2018-03-24,,,
133,2018-03-25,,,
134,2018-03-26,,,
135,2018-03-27,,,
136,2018-03-28,,,
137,2018-03-29,,,
138,2018-03-30,,,
139,2018-03-31,,,
140,2018-04-01,,,
141,2018-04-02,,,
142,2018-04-03,,,
143,2018-04-04,,,
144,2018-04-05,,,
145,2018-04-06,,,
146,2018-04-07,,,
147,2018-04-08,,,
148,2018-04-09,,,
149,2018-04-10,,,
150,2018-04-11,,,
151,2018-04-12,,,
152,2018-04-13,,,
153,2018-04-14,,,
154,2018-04-15,,,
155,2018-04-16,,,
156,2018-04-17,,,
157,2018-04-18,,,
158,2018-04-19,,,
159,2018-04-20,,,
160,2018-04-21,,,
161,2018-04-22,,,
162,2018-04-23,,,
163,2018-04-24,,,
164,2018-04-25,,,
165,2018-04-26,,,
166,2018-04-27,,,
167,2018-04-28,,,
168,2018-04-29,,,
169,2018-04-30,,,
170,2018-05-01,,,
171,2018-05-02,,,
172,2018-05-03,,,
173,2018-05-04,,,
174,2018-05-05,,,
175,2018-05-06,,,
176,2018-05-07,,,
177,2018-05-08,,,
178,2018-05-09,,,
179,2018-05-10,,,
180,2018-05-11,,,
181,2018-05-12,,,
182,2018-05-13,,,
183,2018-05-14,,,
184,2018-05-15,,,
185,2018-05-16,,,
186,2018-05-17,,,
187,2018-05-18,,,
188,2018-05-19,,,
189,2018-05-20,,,
190,2018-05-21,,,
191,2018-05-22,,,
192,2018-05-23,,,
193,2018-05-24,,,
194,2018-05-25,,,
195,2018-05-26,,,
196,2018-05-27,,,
197,2018-05-28,,,
198,2018-05-29,,,
199,2018-05-30,,,
200,2018-05-31,,,
201,2018-06-01,,,
202,2018-06-02,,,
203,2018-06-03,,,
204,2018-06-04,,,
205,2018-06-05,,,
206,2018-06-06,,,
207,2018-06-07,,,
208,2018-06-08,,,
209,2018-06-09,,,
210,2018-06-10,,,
211,2018-06-11,,,
212,2018-06-12,,,
213,2018-06-13,,,
214,2018-06-14,,,
215,2018-06-15,,,
216,2018-06-16,,,
217,2018-06-17,,,
218,2018-06-18,,,
219,2018-06-19,,,
